id,company_id,year,operating_activity,investing_activity,financing_activity,net_cash_flow,fiscal_year,free_cash_flow,net_profit,cash_conversion_ratio
37,TCS,Mar-13,11615.0,-6038.0,-5729.0,-152.0,2013,5577.0,14076.0,0.8251633986928104
38,TCS,Mar-14,14751.0,-9452.0,-5673.0,-374.0,2014,5299.0,19332.0,0.7630353817504656
39,TCS,Mar-15,19369.0,-1807.0,-17168.0,394.0,2015,17562.0,20060.0,0.9655533399800598
40,TCS,Mar-16,19109.0,-5010.0,-9666.0,4433.0,2016,14099.0,24338.0,0.785150792998603
41,TCS,Mar-17,25223.0,-16895.0,-11026.0,-2698.0,2017,8328.0,26357.0,0.9569753765603065
42,TCS,Mar-18,25067.0,3104.0,-26885.0,1286.0,2018,28171.0,25880.0,0.9685857805255024
43,TCS,Mar-19,28593.0,1645.0,-27897.0,2341.0,2019,30238.0,31562.0,0.9059311830682466
44,TCS,Mar-20,32369.0,8968.0,-39915.0,1422.0,2020,41337.0,32447.0,0.9975960797608407
45,TCS,Mar-21,38802.0,-7956.0,-32634.0,-1788.0,2021,30846.0,32562.0,1.191634420490142
46,TCS,Mar-22,39949.0,-738.0,-33581.0,5630.0,2022,39211.0,38449.0,1.0390127181461157
47,TCS,Mar-23,41965.0,548.0,-47878.0,-5365.0,2023,42513.0,42303.0,0.9920100229298159
48,TCS,Mar-24,44338.0,6091.0,-48536.0,1893.0,2024,50429.0,46099.0,0.9617996051975097
61,ABB,Dec 2012,101.0,-59.0,-42.0,1.0,2012,42.0,145.0,0.696551724137931
62,ABB,Mar 2014,155.0,-144.0,-42.0,-31.0,2014,11.0,198.0,0.7828282828282829
63,ABB,Mar 2015,215.0,-187.0,-58.0,-30.0,2015,28.0,229.0,0.9388646288209607
64,ABB,Mar 2016,249.0,-77.0,-80.0,91.0,2016,172.0,255.0,0.9764705882352941
65,ABB,Mar 2017,307.0,-155.0,-90.0,62.0,2017,152.0,277.0,1.108303249097473
66,ABB,Mar 2018,153.0,-215.0,-102.0,-165.0,2018,-62.0,401.0,0.38154613466334164
67,ABB,Mar 2019,499.0,-257.0,-143.0,99.0,2019,242.0,450.0,1.1088888888888888
68,ABB,Mar 2020,626.0,-401.0,-217.0,8.0,2020,225.0,593.0,1.0556492411467115
69,ABB,Mar 2021,727.0,-72.0,-582.0,73.0,2021,655.0,691.0,1.0520984081041969
70,ABB,Mar 2022,948.0,-396.0,-637.0,-86.0,2022,552.0,799.0,1.1864831038798498
71,ABB,Mar 2023,893.0,-148.0,-639.0,107.0,2023,745.0,949.0,0.9409905163329821
72,ABB,Mar 2024,1213.0,-416.0,-745.0,52.0,2024,797.0,1201.0,1.009991673605329
73,ABB,Mar 2014,0.0,0.0,0.0,0.0,2014,0.0,198.0,0.0
74,ABB,Mar 2015,-35.0,-1864.0,1902.0,3.0,2015,-1899.0,229.0,-0.15283842794759825
75,ABB,Mar 2016,1544.0,-816.0,-722.0,6.0,2016,728.0,255.0,6.0549019607843135
76,ABB,Mar 2017,2189.0,-1730.0,-455.0,4.0,2017,459.0,277.0,7.902527075812275
77,ABB,Mar 2018,2198.0,-3192.0,1589.0,596.0,2018,-994.0,401.0,5.4812967581047385
78,ABB,Mar 2019,2591.0,-3050.0,38.0,-421.0,2019,-459.0,450.0,5.757777777777778
79,ABB,Mar 2020,5437.0,-5643.0,1250.0,1045.0,2020,-206.0,593.0,9.168634064080944
80,ABB,Mar 2021,3784.0,-4009.0,-745.0,-969.0,2021,-225.0,691.0,5.476121562952243
81,ABB,Mar 2022,4097.0,-3936.0,-235.0,-75.0,2022,161.0,799.0,5.127659574468085
82,ABB,Mar 2023,3777.0,-4699.0,923.0,2.0,2023,-922.0,949.0,3.9799789251844047
83,ABB,Mar 2024,6038.0,-4943.0,-543.0,551.0,2024,1095.0,1201.0,5.027477102414655
84,ADANIENSOL,Mar 2014,0.0,0.0,0.0,0.0,2014,0.0,0.0,
85,ADANIENSOL,Mar 2015,-35.0,-1864.0,1902.0,3.0,2015,-1899.0,-7.0,5.0
86,ADANIENSOL,Mar 2016,1544.0,-816.0,-722.0,6.0,2016,728.0,368.0,4.195652173913044
87,ADANIENSOL,Mar 2017,2189.0,-1730.0,-455.0,4.0,2017,459.0,416.0,5.262019230769231
88,ADANIENSOL,Mar 2018,2198.0,-3192.0,1589.0,596.0,2018,-994.0,1143.0,1.9230096237970253
89,ADANIENSOL,Mar 2019,2591.0,-3050.0,38.0,-421.0,2019,-459.0,559.0,4.635062611806798
90,ADANIENSOL,Mar 2020,5437.0,-5643.0,1250.0,1045.0,2020,-206.0,706.0,7.701133144475921
91,ADANIENSOL,Mar 2021,3784.0,-4009.0,-745.0,-969.0,2021,-225.0,1290.0,2.933333333333333
92,ADANIENSOL,Mar 2022,4097.0,-3936.0,-235.0,-75.0,2022,161.0,1236.0,3.3147249190938513
93,ADANIENSOL,Mar 2023,3777.0,-4699.0,923.0,2.0,2023,-922.0,1281.0,2.9484777517564402
94,ADANIENSOL,Mar 2024,6038.0,-4943.0,-543.0,551.0,2024,1095.0,1196.0,5.048494983277592
